epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,404.84,1.20293,1.0712,0.01169,0.5982,0.18104,0.20789,0.1239,1.58177,4.30335,0.01908,0.00997619,0.0033254,0.00997619,0.0033254,0.00997619,0.0033254,0.00997619,0.0033254
2,797.192,0.87653,0.5711,0.0084,0.64844,0.21064,0.25372,0.14737,1.68176,3.92685,0.02061,0.0195807,0.00652689,0.0195807,0.00652689,0.0195807,0.00652689,0.0195807,0.00652689
3,1186.89,0.7958,0.55612,0.00761,0.64567,0.20976,0.24024,0.14988,1.60723,4.0746,0.02001,0.0287891,0.00959638,0.0287891,0.00959638,0.0287891,0.00959638,0.0287891,0.00959638
4,1583.21,0.7516,0.57911,0.00714,0.16748,0.20709,0.11469,0.07211,1.67864,5.29701,0.02184,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1971.31,0.70008,0.52393,0.00661,0.64611,0.2471,0.29127,0.17067,1.6421,3.55487,0.02057,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2355.21,0.67437,0.49725,0.00637,0.65283,0.24191,0.28648,0.17394,1.62494,3.45609,0.02032,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2737.9,0.65338,0.46155,0.00612,0.64312,0.21431,0.26092,0.13987,1.92198,3.66728,0.02479,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3124.42,0.63559,0.44461,0.00593,0.67136,0.20541,0.24403,0.14805,1.67197,3.85136,0.02104,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3509.28,0.62168,0.42676,0.00582,0.60771,0.23639,0.28103,0.17301,1.49868,3.5347,0.01822,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3892.28,0.61051,0.42415,0.00571,0.70355,0.23631,0.2778,0.1652,1.79268,3.90407,0.02375,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4274.9,0.60163,0.41138,0.00561,0.68176,0.25783,0.2968,0.17725,1.75486,3.63866,0.02237,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4657.53,0.5946,0.40072,0.0055,0.65416,0.27081,0.31535,0.18203,1.75828,3.31136,0.02233,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5040.28,0.58948,0.39294,0.00548,0.69086,0.25446,0.29334,0.17915,1.73768,3.66752,0.0225,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5423.05,0.57855,0.3907,0.00536,0.66213,0.26501,0.3084,0.18254,1.75232,3.57032,0.02274,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5805.6,0.57654,0.38102,0.00535,0.64491,0.23999,0.27049,0.16272,1.85383,3.72166,0.02472,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,6188.5,0.56547,0.36838,0.00524,0.63828,0.25769,0.28574,0.16361,1.94436,3.67814,0.02597,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6570.99,0.56054,0.35739,0.00518,0.66913,0.3501,0.38769,0.22803,1.74326,2.89607,0.02241,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,6953.75,0.55838,0.3552,0.00515,0.65355,0.28142,0.31729,0.19291,1.82555,3.49967,0.02406,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,7336.36,0.54741,0.34738,0.00502,0.65835,0.31725,0.35347,0.21131,1.7101,3.19733,0.02201,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,7718.87,0.54454,0.34342,0.00501,0.66223,0.29158,0.32355,0.19196,1.8059,3.44402,0.02393,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,8102.14,0.54133,0.33679,0.00495,0.68139,0.29601,0.33467,0.20492,1.79048,3.41142,0.02373,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,8484.83,0.53187,0.33082,0.00489,0.66819,0.28653,0.31749,0.19049,1.88333,3.39861,0.02549,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,8867.52,0.52988,0.33187,0.00483,0.64356,0.28603,0.31433,0.18821,1.79262,3.48175,0.02352,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,9250.79,0.52216,0.3181,0.00475,0.66817,0.30495,0.33437,0.19677,1.88063,3.33526,0.02531,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,9633.16,0.52139,0.32218,0.00474,0.67536,0.28321,0.31544,0.1891,1.86166,3.54786,0.02502,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,10015.6,0.51238,0.31424,0.00468,0.63437,0.28028,0.30481,0.17915,1.94695,3.51517,0.02662,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,10398.1,0.50422,0.31075,0.00462,0.67153,0.31619,0.34583,0.20649,1.85647,3.31537,0.02503,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,10780.5,0.49898,0.29715,0.00453,0.67017,0.3313,0.36306,0.22055,1.82055,3.14164,0.02435,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,11162.6,0.4922,0.28393,0.00448,0.65451,0.30339,0.32927,0.19575,1.93612,3.30089,0.02659,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,11544.6,0.48817,0.28411,0.00445,0.65186,0.27966,0.30509,0.18162,1.9586,3.49263,0.02712,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
